transaction_amount,customer_payment_history,previous_success_rate,previous_failure_count,failure_type,retry_count,customer_age_days,subscription_status,time_since_failure,payment_method,customer_segment,invoice_age,previous_recovery_success,recovered
3692.6,0,0.8479,0,gateway_timeout,2,392,past_due,2.8,upi,regular,5.7,0,1
464.26,1,0.8482,0,insufficient_funds,0,90,active,10.9,upi,enterprise,19.3,0,1
1833.13,2,0.859,5,authentication_failed,1,662,paused,13.2,upi,regular,4.5,0,1
12144.3,5,0.8761,1,insufficient_funds,0,19,active,6.3,netbanking,regular,3.1,1,1
1569.3,6,0.581,2,insufficient_funds,0,526,active,7.8,upi,regular,0.5,0,0
982.65,1,0.839,3,gateway_timeout,1,103,trialing,2.1,netbanking,regular,5.6,0,1
3561.36,10,0.9455,2,gateway_timeout,0,2,active,13.0,wallet,regular,1.3,1,1
21420.18,8,0.5751,1,insufficient_funds,1,89,active,2.3,card,regular,1.1,0,1
1585.72,3,0.6571,0,authentication_failed,1,417,trialing,7.2,upi,starter,1.4,1,0
5775.78,0,0.6863,1,insufficient_funds,1,26,active,11.2,card,starter,1.5,0,1
7369.44,0,0.6837,0,insufficient_funds,0,273,active,5.4,upi,regular,8.0,0,1
1556.67,4,0.6506,0,insufficient_funds,1,482,active,0.6,card,regular,3.4,0,0
6713.74,1,0.7275,2,card_expired,2,93,active,8.0,upi,vip,11.0,1,1
2492.61,4,0.7096,2,gateway_timeout,2,145,past_due,0.5,upi,regular,10.0,1,1
5202.52,9,0.5367,3,insufficient_funds,1,4,trialing,9.7,card,regular,2.9,0,0
5219.19,7,0.8494,2,insufficient_funds,0,62,active,13.6,upi,regular,2.0,0,1
4036.93,2,0.4698,1,card_expired,1,56,active,5.2,netbanking,regular,2.1,0,1
673.15,3,0.7745,2,authentication_failed,1,453,active,7.6,card,enterprise,0.6,0,1
9218.22,9,0.5989,2,insufficient_funds,1,557,active,0.3,card,vip,4.7,0,1
2134.05,18,0.7506,1,gateway_timeout,2,194,active,1.3,wallet,regular,0.3,1,1
1232.16,13,0.6878,1,authentication_failed,0,219,active,4.4,upi,enterprise,7.1,0,1
408.15,7,0.7577,1,insufficient_funds,0,18,active,7.9,netbanking,enterprise,0.7,0,1
4668.89,4,0.8578,2,insufficient_funds,4,203,active,9.2,netbanking,starter,8.0,0,1
5859.26,4,0.7387,5,card_expired,3,75,active,2.6,upi,starter,10.1,0,1
283.63,20,0.5931,1,insufficient_funds,0,121,unpaid,1.5,netbanking,regular,2.2,0,0
3788.15,0,0.4489,1,authentication_failed,0,159,active,1.8,netbanking,regular,3.7,0,1
1484.12,41,0.616,0,insufficient_funds,1,220,active,2.1,card,enterprise,1.2,0,1
5380.62,10,0.9246,1,gateway_timeout,1,181,active,3.5,card,regular,3.5,1,1
1158.02,10,0.6977,3,insufficient_funds,0,34,active,5.0,upi,regular,3.9,0,1
6071.06,0,0.4544,3,card_expired,3,168,canceled,0.2,upi,enterprise,0.4,0,0
2644.79,8,0.7515,1,authentication_failed,2,82,active,4.6,netbanking,regular,1.8,1,1
14001.72,6,0.7618,1,insufficient_funds,2,521,unpaid,5.1,netbanking,regular,14.6,0,1
939.72,1,0.8327,0,authentication_failed,1,45,active,4.5,upi,regular,3.9,0,1
2285.66,3,0.8637,3,insufficient_funds,0,265,canceled,7.1,wallet,regular,0.5,0,1
802.22,20,0.4352,2,insufficient_funds,0,405,active,19.8,card,regular,4.0,0,0
13130.95,7,0.7067,0,gateway_timeout,0,22,canceled,1.8,card,regular,5.4,0,0
10691.67,5,0.4023,3,card_expired,5,204,past_due,0.7,card,regular,2.7,0,0
1691.64,0,0.7001,1,insufficient_funds,0,68,active,7.3,card,enterprise,7.9,1,1
5593.81,11,0.6992,2,insufficient_funds,1,52,active,0.2,upi,regular,7.0,1,1
8697.42,11,0.7376,1,insufficient_funds,2,69,past_due,0.8,upi,regular,1.4,1,1
4250.66,9,0.7799,2,authentication_failed,1,103,active,13.4,card,regular,3.2,0,1
3971.4,6,0.8061,4,insufficient_funds,1,455,past_due,9.1,upi,vip,4.4,0,0
1584.39,5,0.8913,0,gateway_timeout,0,94,active,1.9,upi,regular,7.5,0,1
688.63,8,0.7882,1,insufficient_funds,0,1074,active,7.5,card,enterprise,2.5,0,1
11575.62,2,0.7567,0,insufficient_funds,1,3,past_due,0.7,upi,regular,3.0,1,1
11733.87,26,0.7302,1,card_expired,2,432,canceled,9.3,upi,regular,0.9,1,0
5213.35,8,0.8045,0,card_expired,1,42,canceled,2.2,card,enterprise,0.0,0,0
2270.23,3,0.7223,0,authentication_failed,3,369,active,1.2,upi,regular,9.5,1,1
2347.84,5,0.8304,2,gateway_timeout,0,251,past_due,7.3,card,enterprise,3.7,1,1
6672.33,15,0.6808,1,authentication_failed,2,225,active,1.1,wallet,enterprise,7.1,0,1
11570.49,1,0.8936,1,insufficient_funds,2,60,active,1.3,netbanking,starter,2.7,1,1
11105.66,3,0.6189,0,insufficient_funds,1,306,past_due,3.1,card,regular,2.5,0,1
7767.81,10,0.6717,1,network_error,2,172,active,3.0,upi,regular,18.0,0,1
5336.55,3,0.7053,2,card_expired,1,639,active,1.7,wallet,regular,12.5,1,1
639.46,14,0.5593,2,card_expired,1,61,past_due,3.6,netbanking,regular,4.5,1,1
1081.47,1,0.4453,1,network_error,0,503,canceled,1.0,card,starter,1.7,0,0
11641.15,13,0.4563,1,gateway_timeout,1,340,active,1.2,upi,enterprise,7.2,0,1
4862.47,0,0.7989,0,card_expired,1,25,active,1.7,upi,regular,2.0,0,0
246.2,0,0.4879,2,card_expired,3,190,past_due,2.6,card,enterprise,1.4,1,0
734.98,21,0.8884,0,insufficient_funds,0,300,trialing,4.3,upi,regular,0.1,0,1
5645.81,8,0.7361,2,card_expired,0,22,unpaid,2.0,upi,starter,5.6,1,1
225.37,4,0.7716,1,authentication_failed,1,115,active,3.1,card,regular,0.3,0,1
1076.58,2,0.829,1,authentication_failed,0,356,active,12.3,card,starter,0.6,0,1
4178.49,9,0.7583,4,insufficient_funds,0,146,past_due,0.8,upi,regular,9.7,1,1
6086.58,6,0.8253,0,card_expired,0,59,active,0.7,upi,regular,3.7,0,1
5477.21,45,0.8024,1,insufficient_funds,2,43,active,3.5,wallet,regular,0.8,1,1
1469.75,38,0.8438,1,insufficient_funds,2,440,trialing,12.7,netbanking,vip,0.9,0,1
6427.09,9,0.426,2,card_expired,3,18,past_due,5.5,upi,enterprise,9.1,0,1
1554.12,5,0.8673,0,insufficient_funds,0,33,active,1.2,card,vip,2.2,1,1
2168.17,6,0.5275,1,insufficient_funds,1,453,unpaid,6.2,wallet,enterprise,8.1,1,1
7061.79,10,0.7767,4,authentication_failed,0,279,trialing,1.6,upi,enterprise,2.7,1,1
5443.87,1,0.7556,2,card_expired,0,68,active,1.6,upi,regular,0.3,0,1
9659.78,3,0.7587,3,insufficient_funds,0,46,active,1.3,netbanking,enterprise,2.4,1,1
5559.07,0,0.7948,1,insufficient_funds,0,30,unpaid,3.6,upi,starter,7.6,0,1
4400.22,0,0.6008,0,authentication_failed,0,13,active,0.1,upi,enterprise,25.1,0,1
691.79,2,0.8316,2,authentication_failed,1,60,active,0.1,card,regular,0.6,1,1
2492.08,6,0.7199,4,card_expired,1,365,active,5.4,upi,regular,1.0,0,0
1740.8,14,0.3661,1,card_expired,1,239,canceled,0.2,upi,vip,16.1,0,0
1598.5,6,0.8166,0,gateway_timeout,0,318,active,5.5,card,regular,11.1,0,1
18261.55,3,0.8217,0,authentication_failed,1,911,active,1.4,netbanking,regular,5.5,0,1
2696.94,0,0.5565,3,network_error,1,140,active,6.4,upi,regular,2.4,0,1
11330.28,7,0.7398,0,card_expired,2,650,paused,3.9,upi,regular,5.5,0,0
5186.67,3,0.6978,1,gateway_timeout,3,21,active,5.9,netbanking,regular,0.6,1,0
8119.13,9,0.8123,3,gateway_timeout,1,389,active,2.5,card,enterprise,0.3,1,1
3692.18,35,0.794,2,network_error,2,244,past_due,7.6,upi,regular,8.8,1,0
4500.78,1,0.6596,2,insufficient_funds,0,255,active,1.4,upi,regular,2.4,0,1
3591.47,2,0.833,4,network_error,1,1,active,1.3,card,regular,6.7,1,1
1286.07,6,0.4428,0,insufficient_funds,1,57,trialing,0.1,upi,regular,2.1,0,0
6608.81,32,0.566,0,card_expired,4,769,active,0.9,netbanking,enterprise,13.5,0,0
1847.89,14,0.5005,1,insufficient_funds,2,264,active,1.6,netbanking,regular,11.0,0,0
323.08,21,0.7073,3,authentication_failed,0,617,past_due,6.8,netbanking,regular,4.8,0,1
5384.84,3,0.8055,2,authentication_failed,3,39,active,0.6,card,regular,5.3,0,1
1174.67,45,0.7015,0,network_error,1,197,active,3.1,card,enterprise,5.2,1,1
14305.42,1,0.9234,0,insufficient_funds,0,74,active,1.3,upi,regular,0.3,1,0
15587.81,0,0.5563,4,insufficient_funds,2,864,active,3.6,card,regular,8.4,0,0
12517.55,18,0.8193,1,insufficient_funds,1,364,past_due,30.7,card,vip,8.1,0,0
2511.44,24,0.7222,1,authentication_failed,0,845,active,6.6,card,regular,8.9,0,1
277.89,0,0.7323,2,insufficient_funds,0,9,active,1.0,netbanking,regular,1.3,1,1
13377.62,1,0.9915,2,insufficient_funds,1,64,active,10.4,wallet,starter,6.1,0,1
2994.69,0,0.5896,3,insufficient_funds,0,618,active,1.7,upi,regular,5.9,1,1
17204.21,1,0.8176,1,card_expired,0,44,past_due,4.2,upi,regular,1.8,0,1
16768.68,2,0.4236,0,insufficient_funds,0,280,active,11.4,upi,regular,3.5,1,1
9786.94,33,0.7075,2,authentication_failed,2,647,active,7.8,wallet,regular,1.1,1,1
1943.88,10,0.689,1,authentication_failed,0,4,active,2.4,netbanking,enterprise,3.1,0,1
2631.46,14,0.339,0,authentication_failed,0,192,active,0.5,upi,enterprise,0.9,1,1
9723.63,14,0.8073,1,insufficient_funds,0,234,past_due,2.6,upi,regular,7.6,0,1
2105.73,7,0.7115,5,insufficient_funds,1,373,active,4.0,card,enterprise,0.5,0,1
1128.59,15,0.8896,1,insufficient_funds,2,374,unpaid,1.0,upi,enterprise,1.9,1,1
4268.68,8,0.8465,1,authentication_failed,0,200,canceled,0.5,upi,enterprise,4.6,1,1
13956.47,3,0.9223,1,insufficient_funds,3,543,active,13.4,card,starter,5.8,0,1
6154.13,7,0.4985,1,insufficient_funds,3,77,active,6.7,card,enterprise,18.9,1,1
4420.56,7,0.5081,0,card_expired,1,134,past_due,3.5,upi,regular,1.8,0,0
711.14,16,0.7279,0,insufficient_funds,2,273,unpaid,3.4,upi,starter,9.5,1,1
4972.65,37,0.7017,1,gateway_timeout,0,410,canceled,5.6,netbanking,enterprise,3.0,0,1
23252.85,5,0.8795,1,insufficient_funds,0,103,active,5.5,card,vip,0.9,0,1
954.6,13,0.6798,0,card_expired,3,106,active,0.8,upi,regular,0.2,1,1
3852.48,0,0.8264,0,gateway_timeout,1,157,active,1.5,upi,regular,7.3,0,1
10693.04,14,0.707,0,insufficient_funds,0,85,trialing,4.1,upi,starter,6.2,0,1
6950.17,4,0.6399,5,insufficient_funds,0,103,active,5.6,card,vip,3.6,1,0
6170.37,0,0.9317,2,authentication_failed,2,248,active,0.2,card,regular,3.3,1,1
6261.44,4,0.7404,3,insufficient_funds,0,62,active,4.9,card,regular,3.1,0,1
2427.46,8,0.8743,1,card_expired,0,181,unpaid,0.1,upi,starter,9.1,1,1
1937.81,1,0.8541,0,insufficient_funds,0,832,active,1.3,upi,enterprise,2.9,1,1
8486.87,24,0.5339,1,card_expired,1,616,past_due,12.2,card,regular,11.4,1,1
8506.64,0,0.6312,2,insufficient_funds,0,123,unpaid,2.3,card,regular,4.8,0,1
10289.75,25,0.8548,0,insufficient_funds,0,77,active,2.7,card,regular,8.6,0,1
12423.08,11,0.8776,3,network_error,0,1180,active,5.4,netbanking,regular,2.7,0,1
3780.47,3,0.9797,3,authentication_failed,1,62,active,3.5,wallet,regular,1.4,0,0
3680.92,4,0.9277,1,authentication_failed,2,428,past_due,1.4,card,enterprise,2.5,1,1
8204.75,12,0.7404,0,insufficient_funds,2,779,active,3.6,card,regular,5.8,1,1
5448.6,8,0.4586,1,insufficient_funds,0,1500,trialing,3.1,upi,regular,0.6,1,1
6252.75,10,0.5515,1,insufficient_funds,1,143,active,0.6,wallet,regular,8.8,1,1
8143.1,4,0.9358,2,insufficient_funds,3,138,paused,5.5,card,regular,7.5,0,1
11236.62,6,0.7855,1,insufficient_funds,0,279,canceled,3.7,card,enterprise,3.8,0,1
2262.41,43,0.9421,1,insufficient_funds,1,127,active,0.3,upi,regular,2.5,0,0
2554.68,2,0.561,1,card_expired,1,68,canceled,0.6,upi,regular,8.7,0,0
693.48,5,0.7182,2,insufficient_funds,2,91,paused,0.6,card,regular,21.1,0,0
4517.07,3,0.59,1,card_expired,1,23,paused,0.3,upi,regular,9.4,1,1
383.02,13,0.5898,2,authentication_failed,0,67,active,0.9,card,regular,1.1,0,1
3333.03,13,0.2356,2,insufficient_funds,1,52,active,3.4,upi,enterprise,2.6,1,1
4111.47,3,0.5826,3,authentication_failed,1,156,active,0.5,upi,regular,2.4,0,1
1888.15,0,0.8816,0,card_expired,1,964,past_due,1.0,card,starter,11.4,1,1
4668.16,0,0.7438,0,card_expired,0,284,active,10.2,upi,regular,1.8,0,1
354.88,5,0.7923,1,insufficient_funds,0,53,trialing,3.9,card,regular,0.2,0,0
390.32,5,0.6327,4,gateway_timeout,3,597,active,3.4,netbanking,regular,4.3,1,1
8846.76,42,0.7906,0,insufficient_funds,2,43,active,1.1,netbanking,vip,3.5,1,1
2432.93,6,0.7673,3,authentication_failed,4,187,active,2.9,card,starter,1.7,0,1
879.45,2,0.8591,1,insufficient_funds,4,255,active,1.0,netbanking,regular,16.7,0,1
3893.27,21,0.505,2,insufficient_funds,0,113,active,3.0,upi,regular,13.3,1,1
7548.24,6,0.7501,0,authentication_failed,0,399,active,5.8,card,vip,4.5,0,1
1415.59,8,0.6458,7,network_error,1,37,active,3.9,card,regular,0.1,0,0
5076.1,0,0.7406,0,card_expired,1,187,active,1.4,wallet,vip,30.5,1,1
